id,timestamp,level,source,message
1,2026-05-07T16:11:28.490447,INFO,SEED,Seeded default zones
2,2026-05-07T16:11:28.512146,INFO,SEED,Seeded default AGVs
3,2026-05-07T16:11:28.522618,INFO,SIMULATOR,AGV simulator started
4,2026-05-07T16:11:28.535612,INFO,SIMULATOR,AGV simulator stopped
5,2026-05-07T16:13:06.931006,INFO,SIMULATOR,AGV simulator started
6,2026-05-07T16:13:06.949188,INFO,SIMULATOR,AGV simulator stopped
7,2026-05-07T16:14:25.678631,INFO,SIMULATOR,AGV simulator started
8,2026-05-07T16:15:06.550300,INFO,API,Order #1 'Smoke Order' created (priority=5)
9,2026-05-07T16:15:07.926380,INFO,AGV-1,Order #1 assigned to AGV-1 (priority=5)
10,2026-05-07T16:15:09.958392,INFO,AGV-1,AGV-1 picked up Order #1
11,2026-05-07T16:15:09.968401,INFO,AGV-1,AGV-1 travelling to Zone A (ETA 3s)
12,2026-05-07T16:15:13.002294,INFO,AGV-1,"AGV-1 arrived at Zone A, awaiting confirmation"
13,2026-05-07T16:15:14.215174,INFO,API,Order #1 delivery confirmed by smoke-tester
14,2026-05-07T16:15:15.018880,INFO,AGV-1,AGV-1 delivery for Order #1 confirmed
15,2026-05-07T16:15:15.038766,INFO,AGV-1,"AGV-1 idle, ready for next order"
16,2026-05-07T16:37:05.004555,INFO,SIMULATOR,AGV simulator started
17,2026-05-07T16:40:44.652790,INFO,API,Order #2 'Umesh's Order' created (priority=3)
18,2026-05-07T16:40:46.200806,INFO,AGV-1,Order #2 assigned to AGV-1 (priority=3)
19,2026-05-07T16:40:48.229930,INFO,AGV-1,AGV-1 picked up Order #2
20,2026-05-07T16:40:48.242390,INFO,AGV-1,AGV-1 travelling to Zone C (ETA 7s)
21,2026-05-07T16:40:55.267447,INFO,AGV-1,"AGV-1 arrived at Zone C, awaiting confirmation"
22,2026-05-07T16:41:31.326049,INFO,API,Order #3 'Prakash's Order' created (priority=2)
23,2026-05-07T16:41:32.478656,INFO,AGV-2,Order #3 assigned to AGV-2 (priority=2)
24,2026-05-07T16:41:34.499121,INFO,AGV-2,AGV-2 picked up Order #3
